Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport,Scheduled departure time,Actual departure time,Scheduled elapsed time (Minutes),Actual elapsed time (Minutes),Departure delay (Minutes),Wheels-off time,Taxi-Out time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
UA,1/1/2020,1287,N838UA,EWR,6:00,5:56,93,75,-4,6:08,12,0,0,0,0,0
UA,1/1/2022,2207,N872UA,IAD,8:00,7:54,96,72,-6,8:04,10,0,0,0,0,0
UA,1/1/2023,463,N37427,EWR,6:00,5:55,91,79,-5,6:04,9,0,0,0,0,0
UA,1/1/2023,567,N23707,ORD,10:15,10:05,148,119,-10,10:17,12,0,0,0,0,0
UA,1/1/2023,1646,N814UA,DEN,15:52,15:45,258,259,-7,15:56,11,0,0,0,0,0
UA,1/2/2022,2207,N4901U,IAD,8:00,8:04,96,94,4,8:40,36,0,0,0,0,0
UA,1/2/2023,1646,N890UA,DEN,15:52,18:23,258,249,151,18:33,10,4,0,0,0,138
UA,1/2/2023,2437,N23721,IAD,5:55,5:51,99,68,-4,6:05,14,0,0,0,0,0
UA,1/2/2023,2661,N38458,ORD,6:30,6:44,153,139,14,6:57,13,0,0,0,0,0
UA,1/3/2022,2207,N4901U,IAD,8:00,8:37,96,94,37,9:01,24,35,0,0,0,0
UA,1/3/2023,463,N23708,EWR,6:00,5:57,91,93,-3,6:44,47,0,0,0,0,0
UA,1/3/2023,1646,N813UA,DEN,15:52,16:02,258,253,10,16:14,12,0,0,0,0,0
UA,1/3/2023,2661,N802UA,ORD,6:30,6:28,153,139,-2,6:41,13,0,0,0,0,0
UA,1/4/2022,2207,N893UA,IAD,8:00,7:59,96,96,-1,8:09,10,0,0,0,0,0
UA,1/4/2023,1953,N407UA,DEN,15:53,15:54,257,225,1,16:09,15,0,0,0,0,0
UA,1/4/2023,2661,N854UA,ORD,6:30,6:23,149,133,-7,6:37,14,0,0,0,0,0
UA,1/5/2022,2207,N814UA,IAD,8:00,7:58,96,76,-2,8:09,11,0,0,0,0,0
UA,1/5/2023,1953,N821UA,DEN,15:53,15:49,257,230,-4,16:00,11,0,0,0,0,0
UA,1/5/2023,2661,N893UA,ORD,6:30,6:21,149,128,-9,6:33,12,0,0,0,0,0
UA,1/6/2020,2391,N825UA,ORD,7:30,8:54,160,155,84,9:32,38,79,0,0,0,0
UA,1/6/2022,2207,N827UA,IAD,8:00,7:55,96,94,-5,8:27,32,0,0,0,0,0
UA,1/6/2023,1953,N855UA,DEN,15:53,15:47,257,245,-6,15:58,11,0,0,0,0,0
UA,1/6/2023,2661,N853UA,ORD,6:30,6:23,149,115,-7,6:37,14,0,0,0,0,0
UA,1/7/2020,2391,N14735,ORD,7:30,7:21,160,139,-9,7:57,36,0,0,0,0,0
UA,1/7/2022,2207,N485UA,IAD,8:00,7:56,96,99,-4,8:34,38,0,0,0,0,0
UA,1/7/2023,1953,N847UA,DEN,15:53,15:44,257,230,-9,15:53,9,0,0,0,0,0
UA,1/7/2023,2661,N850UA,ORD,6:30,6:22,149,110,-8,6:33,11,0,0,0,0,0
UA,1/8/2019,714,N810UA,ORD,7:00,7:32,150,150,32,8:11,39,0,32,0,0,0
UA,1/8/2020,2391,N898UA,ORD,7:30,7:21,160,166,-9,8:19,58,0,0,0,0,0
UA,1/8/2022,2207,N423UA,IAD,8:00,7:57,96,93,-3,8:30,33,0,0,0,0,0
UA,1/8/2023,1953,N813UA,DEN,15:53,16:05,257,217,12,16:15,10,0,0,0,0,0
UA,1/8/2023,2661,N892UA,ORD,6:30,6:20,149,112,-10,6:32,12,0,0,0,0,0
UA,1/9/2019,714,N4888U,ORD,7:00,6:58,150,144,-2,7:41,43,0,0,0,0,0
UA,1/9/2020,2391,N18223,ORD,7:30,7:17,160,150,-13,7:46,29,0,0,0,0,0
UA,1/9/2022,2207,N893UA,IAD,8:00,8:11,96,112,11,9:05,54,0,11,16,0,0
UA,1/9/2023,1953,N809UA,DEN,15:53,15:43,257,264,-10,15:56,13,0,0,0,0,0
UA,1/9/2023,2661,N414UA,ORD,6:30,6:38,149,143,8,7:21,43,0,0,0,0,0
UA,1/10/2019,714,N816UA,ORD,7:00,7:00,150,148,0,7:49,49,0,0,0,0,0
UA,1/10/2020,2391,N13750,ORD,7:30,7:18,160,147,-12,7:47,29,0,0,0,0,0
UA,1/10/2022,2207,N854UA,IAD,8:00,7:56,96,73,-4,8:06,10,0,0,0,0,0
UA,1/10/2023,375,N895UA,EWR,6:00,5:55,90,99,-5,6:45,50,0,0,0,0,0
UA,1/10/2023,1953,N408UA,DEN,15:53,16:17,257,240,24,16:29,12,0,0,0,0,0
UA,1/10/2023,2661,N802UA,ORD,6:30,6:18,149,164,-12,7:21,63,0,0,0,0,0
UA,1/11/2019,714,N4888U,ORD,7:00,7:28,150,153,28,8:02,34,0,28,3,0,0
UA,1/11/2020,2391,N17753,ORD,7:30,7:20,160,226,-10,8:30,70,0,0,56,0,0
UA,1/11/2022,2207,N810UA,IAD,8:00,8:01,96,111,1,8:56,55,0,0,16,0,0
UA,1/11/2023,375,N846UA,EWR,6:00,8:45,90,77,165,9:19,34,152,0,0,0,0
UA,1/11/2023,1953,N809UA,DEN,15:53,16:15,257,235,22,16:29,14,0,0,0,0,0
UA,1/11/2023,2339,N78285,ORD,6:00,9:25,149,133,205,9:39,14,0,0,189,0,0
UA,1/11/2023,2661,N463UA,ORD,6:30,10:29,149,145,239,10:59,30,0,0,235,0,0
UA,1/12/2019,714,N897UA,ORD,7:00,6:59,150,136,-1,7:10,11,0,0,0,0,0
UA,1/12/2020,2391,N24715,ORD,7:30,7:22,160,123,-8,7:32,10,0,0,0,0,0
UA,1/12/2022,2207,N880UA,IAD,8:00,7:50,96,64,-10,8:00,10,0,0,0,0,0
UA,1/12/2023,375,N836UA,EWR,6:00,6:02,90,83,2,6:17,15,0,0,0,0,0
UA,1/12/2023,1953,N826UA,DEN,15:53,15:47,257,232,-6,16:03,16,0,0,0,0,0
UA,1/12/2023,2661,N872UA,ORD,6:30,6:18,149,136,-12,6:31,13,0,0,0,0,0
UA,1/13/2019,714,N832UA,ORD,7:00,7:04,150,134,4,7:30,26,0,0,0,0,0
UA,1/13/2020,2391,N16703,ORD,7:30,7:24,160,162,-6,7:35,11,0,0,0,0,0
UA,1/13/2022,2207,N871UA,IAD,8:00,7:50,96,98,-10,8:26,36,0,0,0,0,0
UA,1/13/2023,375,N836UA,EWR,6:00,5:51,90,75,-9,6:17,26,0,0,0,0,0
UA,1/13/2023,1953,N823UA,DEN,15:53,16:05,257,252,12,16:54,49,0,0,0,0,0
UA,1/13/2023,2661,N873UA,ORD,6:30,6:18,149,137,-12,6:41,23,0,0,0,0,0
UA,1/14/2019,714,N837UA,ORD,7:00,7:00,150,116,0,7:22,22,0,0,0,0,0
UA,1/14/2020,2391,N24715,ORD,7:30,7:27,160,132,-3,7:41,14,0,0,0,0,0
UA,1/14/2022,2207,N845UA,IAD,8:00,7:53,96,101,-7,8:29,36,0,0,0,0,0
UA,1/14/2023,375,N810UA,EWR,6:00,5:51,89,102,-9,6:41,50,0,0,0,0,0
UA,1/14/2023,1953,N809UA,DEN,15:53,16:12,257,234,19,16:25,13,0,0,0,0,0
UA,1/14/2023,2661,N455UA,ORD,6:30,6:26,149,143,-4,7:08,42,0,0,0,0,0
UA,1/15/2019,714,N820UA,ORD,7:00,6:57,150,115,-3,7:09,12,0,0,0,0,0
UA,1/15/2020,2391,N889UA,ORD,7:30,7:12,160,166,-18,7:42,30,0,0,0,0,0
UA,1/15/2022,2207,N469UA,IAD,8:00,7:59,96,79,-1,8:17,18,0,0,0,0,0
UA,1/15/2023,375,N496UA,EWR,6:00,5:52,89,95,-8,6:28,36,0,0,0,0,0
UA,1/15/2023,1953,N811UA,DEN,15:53,16:24,257,235,31,16:44,20,0,0,0,0,0
UA,1/15/2023,2661,N851UA,ORD,6:30,6:23,149,147,-7,6:59,36,0,0,0,0,0
UA,1/16/2019,714,N852UA,ORD,7:00,6:56,150,133,-4,7:12,16,0,0,0,0,0
UA,1/16/2020,2391,N15751,ORD,7:30,7:21,160,158,-9,7:59,38,0,0,0,0,0
UA,1/16/2022,2207,N818UA,IAD,8:00,8:02,96,76,2,8:16,14,0,0,0,0,0
UA,1/16/2023,375,N877UA,EWR,6:00,5:50,89,106,-10,6:42,52,0,0,0,0,0
UA,1/16/2023,1953,N897UA,DEN,15:53,15:43,257,265,-10,15:53,10,0,0,0,0,0
UA,1/16/2023,2661,N810UA,ORD,6:30,6:26,149,131,-4,6:40,14,0,0,0,0,0
UA,1/17/2019,714,N807UA,ORD,7:00,6:49,150,135,-11,7:04,15,0,0,0,0,0
UA,1/17/2020,2391,N27733,ORD,7:30,7:25,160,157,-5,7:56,31,0,0,0,0,0
UA,1/17/2022,2207,,IAD,8:00,0:00,96,0,0,0:00,0,0,0,0,0,0
UA,1/17/2023,375,N405UA,EWR,6:00,5:48,90,89,-12,6:29,41,0,0,0,0,0
UA,1/17/2023,1953,N897UA,DEN,15:53,15:45,257,249,-8,15:56,11,0,0,0,0,0
UA,1/17/2023,2661,N462UA,ORD,6:30,6:23,149,139,-7,7:01,38,0,0,0,0,0
UA,1/18/2019,714,N823UA,ORD,7:00,6:56,150,165,-4,7:42,46,0,0,0,0,0
UA,1/18/2020,2391,N16703,ORD,7:30,7:30,160,132,0,7:42,12,0,0,0,0,0
UA,1/18/2022,2207,N420UA,IAD,8:00,8:09,96,70,9,8:22,13,0,0,0,0,0
UA,1/18/2023,375,N880UA,EWR,6:00,5:45,90,58,-15,6:00,15,0,0,0,0,0
UA,1/18/2023,1953,N843UA,DEN,15:53,16:40,257,272,47,16:52,12,10,0,15,0,37
UA,1/18/2023,2661,N820UA,ORD,6:30,6:22,149,130,-8,6:34,12,0,0,0,0,0
UA,1/19/2019,714,N493UA,ORD,7:00,7:05,150,147,5,7:36,31,0,0,0,0,0
UA,1/19/2020,2391,N16703,ORD,7:30,7:18,160,113,-12,7:29,11,0,0,0,0,0
UA,1/19/2022,2207,N833UA,IAD,8:00,7:55,96,70,-5,8:06,11,0,0,0,0,0
UA,1/19/2023,375,N873UA,EWR,6:00,5:49,89,105,-11,6:44,55,0,0,0,0,0
UA,1/19/2023,1953,N893UA,DEN,15:53,15:44,257,240,-9,15:55,11,0,0,0,0,0
UA,1/19/2023,2661,N810UA,ORD,6:30,6:17,149,153,-13,6:56,39,0,0,0,0,0
UA,1/20/2019,714,,ORD,7:00,0:00,150,0,0,0:00,0,0,0,0,0,0
UA,1/20/2020,2391,N24702,ORD,7:30,7:19,160,144,-11,8:06,47,0,0,0,0,0
UA,1/20/2022,2207,N877UA,IAD,8:00,7:54,96,121,-6,8:53,59,0,0,19,0,0
UA,1/20/2023,375,N826UA,EWR,6:00,5:49,90,57,-11,6:01,12,0,0,0,0,0
UA,1/20/2023,1953,N874UA,DEN,15:53,15:48,257,255,-5,16:19,31,0,0,0,0,0
UA,1/20/2023,2661,N844UA,ORD,6:30,6:22,149,135,-8,6:38,16,0,0,0,0,0
UA,1/21/2019,714,N845UA,ORD,7:00,10:41,150,180,221,11:45,64,0,0,251,0,0
UA,1/21/2020,2391,N23708,ORD,7:30,7:20,160,125,-10,7:51,31,0,0,0,0,0
UA,1/21/2022,2207,N825UA,IAD,8:00,8:49,96,80,49,9:08,19,33,0,0,0,0
UA,1/21/2023,375,N891UA,EWR,6:00,5:50,89,91,-10,6:29,39,0,0,0,0,0
UA,1/21/2023,1953,N4888U,DEN,15:53,15:51,257,278,-2,16:25,34,0,0,19,0,0
UA,1/21/2023,2661,N884UA,ORD,6:30,6:22,149,149,-8,7:05,43,0,0,0,0,0
UA,1/22/2019,714,N832UA,ORD,7:00,7:01,150,134,1,7:15,14,0,0,0,0,0
UA,1/22/2020,2391,N811UA,ORD,7:30,8:09,160,119,39,8:24,15,0,0,0,0,0
UA,1/22/2022,2207,N416UA,IAD,8:00,7:54,96,109,-6,8:37,43,0,0,0,0,0
UA,1/22/2023,375,N889UA,EWR,6:00,5:52,89,79,-8,6:05,13,0,0,0,0,0
UA,1/22/2023,1953,N872UA,DEN,15:53,17:08,257,279,75,18:15,67,22,0,22,0,53
UA,1/22/2023,2661,N846UA,ORD,6:30,6:26,149,139,-4,6:39,13,0,0,0,0,0
UA,1/23/2019,714,N816UA,ORD,7:00,7:04,150,177,4,7:58,54,0,0,31,0,0
UA,1/23/2020,2391,N17752,ORD,7:30,7:16,160,161,-14,7:50,34,0,0,0,0,0
UA,1/23/2022,2207,N803UA,IAD,8:00,7:55,96,98,-5,8:36,41,0,0,0,0,0
UA,1/23/2023,375,N834UA,EWR,6:00,6:06,90,130,6,7:16,70,6,0,40,0,0
UA,1/23/2023,1953,N825UA,DEN,15:53,16:02,257,269,9,16:52,50,0,7,12,0,2
UA,1/23/2023,2661,N835UA,ORD,6:30,6:48,149,163,18,7:56,68,0,18,14,0,0
UA,1/24/2019,714,N820UA,ORD,7:00,6:52,150,117,-8,7:03,11,0,0,0,0,0
UA,1/24/2020,2391,N14704,ORD,7:30,7:41,160,150,11,7:54,13,0,0,0,0,0
UA,1/24/2022,2207,N489UA,IAD,8:00,7:57,96,97,-3,8:34,37,0,0,0,0,0
UA,1/24/2023,375,N808UA,EWR,6:00,5:50,90,63,-10,5:59,9,0,0,0,0,0
UA,1/24/2023,1953,N821UA,DEN,15:53,15:51,257,259,-2,16:24,33,0,0,0,0,0
UA,1/24/2023,2661,N873UA,ORD,6:30,6:18,149,124,-12,6:33,15,0,0,0,0,0
UA,1/25/2019,714,N451UA,ORD,7:00,8:28,150,134,88,9:05,37,72,0,0,0,0
UA,1/25/2020,2391,N17719,ORD,7:30,7:16,160,121,-14,7:40,24,0,0,0,0,0
UA,1/25/2022,2207,N449UA,IAD,8:00,7:53,96,93,-7,8:29,36,0,0,0,0,0
UA,1/25/2023,375,N819UA,EWR,6:00,5:57,90,109,-3,6:34,37,0,0,16,0,0
UA,1/25/2023,1953,N821UA,DEN,15:53,16:09,257,249,16,16:47,38,0,0,0,0,0
UA,1/25/2023,2661,N851UA,ORD,6:30,6:22,149,148,-8,6:37,15,0,0,0,0,0
UA,1/26/2019,714,N825UA,ORD,7:00,6:53,150,139,-7,7:03,10,0,0,0,0,0
UA,1/26/2020,2391,N15712,ORD,7:30,7:25,160,106,-5,7:38,13,0,0,0,0,0
UA,1/26/2022,2207,N490UA,IAD,8:00,7:58,96,101,-2,8:31,33,0,0,0,0,0
UA,1/26/2023,375,N66831,EWR,6:00,5:50,90,56,-10,6:01,11,0,0,0,0,0
UA,1/26/2023,1953,N418UA,DEN,15:53,16:30,257,271,37,17:28,58,0,0,14,0,37
UA,1/26/2023,2661,N802UA,ORD,6:30,6:18,149,162,-12,7:02,44,0,0,0,0,0
UA,1/27/2019,714,N834UA,ORD,7:00,6:55,150,170,-5,7:44,49,0,0,15,0,0
UA,1/27/2020,2391,N15712,ORD,7:30,7:21,160,158,-9,8:06,45,0,0,0,0,0
UA,1/27/2022,2207,N827UA,IAD,8:00,8:08,96,105,8,8:50,42,8,0,9,0,0
UA,1/27/2023,375,N38417,EWR,6:00,5:49,90,103,-11,6:48,59,0,0,0,0,0
UA,1/27/2023,1953,N827UA,DEN,15:53,16:02,257,238,9,16:14,12,0,0,0,0,0
UA,1/27/2023,2661,N811UA,ORD,6:30,6:22,149,170,-8,7:26,64,0,0,0,0,0
UA,1/28/2019,714,N819UA,ORD,7:00,12:04,150,113,304,12:14,10,0,0,267,0,0
UA,1/28/2020,2391,N13716,ORD,7:30,7:21,160,146,-9,8:06,45,0,0,0,0,0
UA,1/28/2022,2207,N414UA,IAD,8:00,7:53,96,115,-7,8:42,49,0,0,0,0,0
UA,1/28/2023,375,N454UA,EWR,6:00,5:47,89,95,-13,6:37,50,0,0,0,0,0
UA,1/28/2023,1953,N833UA,DEN,15:53,15:46,257,276,-7,16:15,29,0,0,0,0,0
UA,1/28/2023,2661,N842UA,ORD,6:30,6:19,149,142,-11,6:42,23,0,0,0,0,0
UA,1/29/2019,714,N497UA,ORD,7:00,6:55,150,150,-5,7:29,34,0,0,0,0,0
UA,1/29/2020,2391,N853UA,ORD,7:30,7:15,160,157,-15,8:03,48,0,0,0,0,0
UA,1/29/2022,2207,N421UA,IAD,8:00,7:56,96,72,-4,8:07,11,0,0,0,0,0
UA,1/29/2023,375,N824UA,EWR,6:00,5:49,89,56,-11,6:00,11,0,0,0,0,0
UA,1/29/2023,1953,,DEN,15:53,0:00,257,0,0,0:00,0,0,0,0,0,0
UA,1/29/2023,2661,N473UA,ORD,6:30,6:21,149,149,-9,6:38,17,0,0,0,0,0
UA,1/30/2019,714,,ORD,7:00,0:00,150,0,0,0:00,0,0,0,0,0,0
UA,1/30/2020,2391,N15751,ORD,7:30,7:25,160,126,-5,7:50,25,0,0,0,0,0
UA,1/30/2022,2207,N469UA,IAD,8:00,8:00,96,95,0,8:42,42,0,0,0,0,0
UA,1/30/2023,375,N38473,EWR,6:00,5:53,90,110,-7,7:00,67,0,0,0,0,0
UA,1/30/2023,1953,N882UA,DEN,15:53,15:52,257,297,-1,16:31,39,0,0,39,0,0
UA,1/30/2023,2661,N893UA,ORD,6:30,6:23,149,139,-7,6:38,15,0,0,0,0,0
UA,1/31/2019,714,,ORD,7:00,0:00,150,0,0,0:00,0,0,0,0,0,0
UA,1/31/2020,2391,N16709,ORD,7:30,7:13,160,137,-17,7:25,12,0,0,0,0,0
UA,1/31/2022,2207,N828UA,IAD,8:00,7:48,96,103,-12,8:31,43,0,0,0,0,0
UA,1/31/2023,375,N66831,EWR,6:00,5:55,90,126,-5,7:09,74,0,0,31,0,0
UA,1/31/2023,1953,N851UA,DEN,15:53,15:49,257,280,-4,16:00,11,0,0,19,0,0
UA,1/31/2023,2661,N836UA,ORD,6:30,6:27,149,193,-3,7:41,74,0,0,41,0,0
UA,2/1/2019,714,N809UA,ORD,7:00,6:58,150,150,-2,7:27,29,0,0,0,0,0
UA,2/1/2020,2391,N27724,ORD,7:30,7:21,160,131,-9,7:45,24,0,0,0,0,0
UA,2/1/2022,2207,N472UA,IAD,8:00,7:54,96,97,-6,8:28,34,0,0,0,0,0
UA,2/2/2019,714,N850UA,ORD,7:00,7:06,150,146,6,7:43,37,0,0,0,0,0
UA,2/2/2020,2391,N27724,ORD,7:30,7:28,160,159,-2,8:18,50,0,0,0,0,0
UA,2/2/2022,2207,N834UA,IAD,8:00,7:49,96,73,-11,8:02,13,0,0,0,0,0
UA,2/3/2019,714,N834UA,ORD,7:00,6:56,150,131,-4,7:21,25,0,0,0,0,0
UA,2/3/2020,2391,N24702,ORD,7:30,7:57,160,132,27,8:13,16,0,0,0,0,0
UA,2/3/2022,2207,N876UA,IAD,8:00,8:08,96,103,8,8:50,42,0,8,7,0,0
UA,2/4/2019,714,N834UA,ORD,7:00,6:59,150,121,-1,7:10,11,0,0,0,0,0
UA,2/4/2020,2391,N27733,ORD,7:30,15:01,160,135,451,15:19,18,426,0,0,0,0
UA,2/4/2022,2207,,IAD,8:00,0:00,96,0,0,0:00,0,0,0,0,0,0
UA,2/5/2019,714,N806UA,ORD,7:00,6:56,150,134,-4,7:11,15,0,0,0,0,0
UA,2/5/2020,2391,N892UA,ORD,7:30,7:17,160,154,-13,7:41,24,0,0,0,0,0
UA,2/5/2022,2207,N417UA,IAD,8:00,8:00,96,95,0,8:37,37,0,0,0,0,0
UA,2/6/2019,714,N813UA,ORD,7:00,7:18,150,156,18,8:01,43,18,0,6,0,0
UA,2/6/2020,2391,N12754,ORD,7:30,7:20,160,216,-10,8:36,76,0,0,46,0,0
UA,2/6/2022,2207,N831UA,IAD,8:00,7:58,96,76,-2,8:11,13,0,0,0,0,0
UA,2/7/2019,714,N834UA,ORD,7:00,6:56,150,133,-4,7:06,10,0,0,0,0,0
UA,2/7/2020,2391,N12754,ORD,7:30,7:22,160,206,-8,9:12,110,0,0,38,0,0
UA,2/7/2022,2207,N828UA,IAD,8:00,7:56,96,90,-4,8:21,25,0,0,0,0,0
UA,2/8/2019,714,N899UA,ORD,7:00,6:52,150,151,-8,7:03,11,0,0,0,0,0
UA,2/8/2020,2391,N24736,ORD,7:30,7:52,160,152,22,8:45,53,0,0,0,0,0
UA,2/8/2022,2207,N876UA,IAD,8:00,7:51,96,71,-9,8:02,11,0,0,0,0,0
UA,2/9/2019,714,N813UA,ORD,7:00,7:08,150,179,8,8:02,54,0,8,29,0,0
UA,2/9/2020,2391,N13750,ORD,7:30,7:29,160,154,-1,8:03,34,0,0,0,0,0
UA,2/9/2022,2207,N824UA,IAD,8:00,7:51,96,74,-9,8:02,11,0,0,0,0,0
UA,2/10/2019,714,N801UA,ORD,7:00,7:08,150,158,8,7:48,40,0,8,8,0,0
UA,2/10/2020,2391,N25705,ORD,7:30,8:33,160,132,63,8:51,18,35,0,0,0,0
UA,2/10/2022,2207,N436UA,IAD,8:00,7:58,96,71,-2,8:08,10,0,0,0,0,0
UA,2/11/2019,714,N801UA,ORD,7:00,6:57,150,161,-3,7:30,33,0,0,0,0,0
UA,2/11/2020,2391,N76502,ORD,7:30,7:15,160,131,-15,7:30,15,0,0,0,0,0
UA,2/11/2022,765,N445UA,ORD,6:30,6:27,137,127,-3,6:39,12,0,0,0,0,0
UA,2/11/2022,1806,N853UA,DEN,15:55,15:49,255,243,-6,15:59,10,0,0,0,0,0
UA,2/12/2019,714,N801UA,ORD,7:00,6:53,150,149,-7,7:18,25,0,0,0,0,0
UA,2/12/2020,2391,N805UA,ORD,7:30,7:24,160,144,-6,7:58,34,0,0,0,0,0
UA,2/12/2022,765,N489UA,ORD,6:30,8:17,137,141,107,8:31,14,107,0,4,0,0
UA,2/12/2022,1806,N818UA,DEN,15:55,16:02,255,246,7,16:12,10,0,0,0,0,0
UA,2/12/2022,2207,N66828,IAD,8:00,8:06,85,72,6,8:18,12,0,0,0,0,0
UA,2/13/2019,714,N841UA,ORD,7:00,11:21,150,132,261,11:59,38,0,243,0,0,0
UA,2/13/2020,2391,N54711,ORD,7:30,8:30,160,185,60,9:21,51,0,0,85,0,0
UA,2/13/2022,765,N838UA,ORD,6:30,6:37,137,145,7,7:17,40,7,0,8,0,0
UA,2/13/2022,1806,N483UA,DEN,15:55,15:59,255,241,4,16:29,30,0,0,0,0,0
UA,2/13/2022,2207,N62889,IAD,8:00,7:51,85,104,-9,8:22,31,0,0,0,0,0
UA,2/14/2019,285,N804UA,ORD,17:32,17:27,138,132,-5,17:38,11,0,0,0,0,0
UA,2/14/2019,714,N820UA,ORD,7:00,7:04,143,152,4,7:45,41,0,0,0,0,0
UA,2/14/2020,2391,N77518,ORD,7:30,7:28,160,147,-2,8:13,45,0,0,0,0,0
UA,2/14/2022,765,N880UA,ORD,6:30,6:27,137,151,-3,7:16,49,0,0,0,0,0
UA,2/14/2022,1806,N403UA,DEN,15:55,16:15,255,229,20,16:24,9,0,0,0,0,0
UA,2/14/2022,2207,N68811,IAD,8:00,7:56,85,107,-4,8:45,49,0,0,18,0,0
UA,2/15/2019,714,N848UA,ORD,7:00,6:55,143,128,-5,7:11,16,0,0,0,0,0
UA,2/15/2020,2391,N17719,ORD,7:30,7:35,160,120,5,7:45,10,0,0,0,0,0
UA,2/15/2022,765,N823UA,ORD,6:30,6:30,137,164,0,7:10,40,0,0,27,0,0
UA,2/15/2022,1806,N873UA,DEN,15:55,16:10,255,269,15,16:51,41,15,0,14,0,0
UA,2/15/2022,2207,N66848,IAD,8:00,7:53,85,87,-7,8:24,31,0,0,0,0,0
UA,2/16/2019,714,N429UA,ORD,7:00,7:22,143,128,22,7:40,18,0,0,0,0,0
UA,2/16/2020,2391,N27722,ORD,7:30,7:27,160,125,-3,7:41,14,0,0,0,0,0
UA,2/16/2022,765,N825UA,ORD,6:30,6:34,137,125,4,6:47,13,0,0,0,0,0
UA,2/16/2022,1806,N881UA,DEN,15:55,15:44,255,272,-11,15:56,12,0,0,0,0,0
UA,2/16/2022,2207,N66893,IAD,8:00,7:59,85,69,-1,8:14,15,0,0,0,0,0
UA,2/17/2019,714,N447UA,ORD,7:00,6:52,143,147,-8,7:15,23,0,0,0,0,0
UA,2/17/2020,2391,N27722,ORD,7:30,7:27,160,148,-3,7:56,29,0,0,0,0,0
UA,2/17/2022,765,N876UA,ORD,6:30,6:28,137,137,-2,6:44,16,0,0,0,0,0
UA,2/17/2022,1806,N821UA,DEN,15:55,16:13,255,260,18,16:26,13,2,0,5,0,16
UA,2/17/2022,2207,N68807,IAD,8:00,7:57,85,70,-3,8:06,9,0,0,0,0,0
UA,2/18/2019,714,,ORD,7:00,0:00,143,0,0,0:00,0,0,0,0,0,0
UA,2/18/2020,2391,N17730,ORD,7:30,7:27,160,193,-3,8:35,68,0,0,30,0,0
UA,2/18/2022,765,N825UA,ORD,6:30,6:30,137,195,0,7:46,76,0,0,58,0,0
UA,2/18/2022,1806,N838UA,DEN,15:55,15:50,255,275,-5,16:33,43,0,0,15,0,0
UA,2/18/2022,2207,N28478,IAD,8:00,9:38,85,109,98,10:23,45,98,0,24,0,0
UA,2/19/2019,714,N825UA,ORD,7:00,6:56,143,156,-4,7:16,20,0,0,0,0,0
UA,2/19/2020,2391,N17752,ORD,7:30,7:23,160,140,-7,7:50,27,0,0,0,0,0
UA,2/19/2022,765,N419UA,ORD,6:30,6:32,137,137,2,6:48,16,0,0,0,0,0
UA,2/19/2022,1806,N460UA,DEN,15:55,16:05,255,229,10,16:14,9,0,0,0,0,0
UA,2/19/2022,2207,N36469,IAD,8:00,8:03,85,72,3,8:15,12,0,0,0,0,0
UA,2/20/2019,714,N809UA,ORD,7:00,7:31,143,145,31,7:46,15,0,0,33,0,0
UA,2/20/2020,2391,N24715,ORD,7:30,7:25,160,162,-5,8:20,55,0,0,0,0,0
UA,2/20/2022,765,N424UA,ORD,6:30,6:38,137,151,8,7:22,44,8,0,14,0,0
UA,2/20/2022,1806,N822UA,DEN,15:55,16:03,255,240,8,16:14,11,0,0,0,0,0
UA,2/20/2022,2207,N64809,IAD,8:00,8:12,85,92,12,8:51,39,12,0,7,0,0
UA,2/21/2019,714,N826UA,ORD,7:00,6:58,143,132,-2,7:07,9,0,0,0,0,0
UA,2/21/2020,2391,N39728,ORD,7:30,7:23,160,134,-7,8:01,38,0,0,0,0,0
UA,2/21/2022,765,N818UA,ORD,6:30,6:28,137,137,-2,6:47,19,0,0,0,0,0
UA,2/21/2022,1806,N811UA,DEN,15:55,15:49,255,261,-6,16:18,29,0,0,0,0,0
UA,2/21/2022,2207,N69830,IAD,8:00,7:55,85,109,-5,8:52,57,0,0,19,0,0
UA,2/22/2019,714,N803UA,ORD,7:00,6:53,143,145,-7,7:17,24,0,0,0,0,0
UA,2/22/2020,2391,N876UA,ORD,7:30,7:16,160,136,-14,7:48,32,0,0,0,0,0
UA,2/22/2022,765,N836UA,ORD,6:30,6:25,137,150,-5,6:39,14,0,0,0,0,0
UA,2/22/2022,1806,N484UA,DEN,15:55,16:53,255,268,58,17:04,11,19,0,13,0,39
UA,2/22/2022,2207,N69804,IAD,8:00,7:59,85,72,-1,8:13,14,0,0,0,0,0
UA,2/23/2019,714,N836UA,ORD,7:00,7:00,143,129,0,7:11,11,0,0,0,0,0
UA,2/23/2020,2391,N24736,ORD,7:30,7:27,160,111,-3,7:41,14,0,0,0,0,0
UA,2/23/2022,765,N816UA,ORD,6:30,6:26,137,133,-4,6:46,20,0,0,0,0,0
UA,2/23/2022,1806,N819UA,DEN,15:55,16:02,255,293,7,16:18,16,7,0,38,0,0
UA,2/23/2022,2207,N62889,IAD,8:00,8:00,85,67,0,8:12,12,0,0,0,0,0
